timeStamps,bufferSizes,bufferingStates,bufferingEvents,newBitrates,oldBitrates,resolutions,streamBandwidths,estimatedBandwidths
2024-09-18 02:29:23,0.6,0,41.72099995613098,6096000,2096000,1920p,5.9,1.1
2024-09-18 02:29:25,1.0,1,42.43600010871887,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:26,0.4,0,42.43600010871887,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:30,1.0,1,46.165000200271606,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:33,1.0,1,48.42900013923645,6096000,2096000,1920p,5.9,1
2024-09-18 02:29:34,1.0,0,48.42900013923645,3096000,6096000,1280p,3,3.2
2024-09-18 02:29:39,1.0,1,52.62700033187866,3096000,6096000,1280p,3,6.1
2024-09-18 02:29:42,1.0,1,54.55000019073486,3096000,6096000,1280p,3,6.6
2024-09-18 02:29:43,1.0,0,54.55000019073486,3096000,6096000,1280p,3,6.6
2024-09-18 02:29:45,1.0,1,55.19500017166138,4596000,6096000,1920p,4.4,1.1
2024-09-18 02:29:46,0.8,0,55.19500017166138,4596000,6096000,1920p,4.4,1.1
2024-09-18 02:29:52,1.0,1,60.34600019454956,4596000,6096000,1920p,4.4,9
2024-09-18 02:29:55,1.0,1,62.248000144958496,6096000,4596000,1920p,5.9,8.8
2024-09-18 02:29:56,1.0,0,62.248000144958496,6096000,4596000,1920p,5.9,8.8
2024-09-18 02:29:58,1.0,1,63.069000005722046,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:29:59,0.9,0,63.069000005722046,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:30:04,1.0,1,67.23000001907349,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:30:07,1.0,1,69.49600005149841,6096000,4596000,1920p,5.9,9.2
2024-09-18 02:30:08,1.0,0,69.49600005149841,6096000,4596000,1920p,5.9,9.2
2024-09-18 02:30:10,1.0,1,70.38499999046326,6096000,4596000,1920p,5.9,9.2
2024-09-18 02:30:11,0.9,0,70.38499999046326,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:30:17,1.0,1,75.37600016593933,6096000,4596000,1920p,5.9,9.6
2024-09-18 02:30:20,1.0,1,77.5329999923706,6096000,4596000,1920p,5.9,9.7
2024-09-18 02:30:21,1.0,0,77.5329999923706,6096000,4596000,1920p,5.9,9.7
2024-09-18 02:30:27,1.0,1,82.14599990844727,6096000,4596000,1920p,5.9,9.4
2024-09-18 02:30:30,1.0,1,84.53600001335144,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:30:31,1.0,0,84.53600001335144,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:30:37,1.0,1,89.19199991226196,4596000,6096000,1920p,4.4,7.7
2024-09-18 02:30:40,1.0,1,91.23199987411499,4596000,6096000,1920p,4.4,7.8
2024-09-18 02:30:41,1.0,0,91.23199987411499,4596000,6096000,1920p,4.4,7.8
2024-09-18 02:30:47,1.0,1,96.55900001525879,6096000,4596000,1920p,5.9,7.6
2024-09-18 02:30:50,1.0,1,98.71799993515015,6096000,4596000,1920p,5.9,7.7
2024-09-18 02:30:51,1.0,0,98.71799993515015,3096000,6096000,1280p,3,3.2
2024-09-18 02:30:56,1.0,1,102.18899989128113,3096000,6096000,1280p,3,6.5
2024-09-18 02:30:59,1.0,1,104.20199990272522,3096000,6096000,1280p,3,6.6
2024-09-18 02:31:00,1.0,0,104.20199990272522,3096000,6096000,1280p,3,6.6
2024-09-18 02:31:01,1.0,1,104.59999990463257,4596000,6096000,1920p,4.4,1.6
2024-09-18 02:31:02,0.8,0,104.59999990463257,4596000,6096000,1920p,4.4,6.4
2024-09-18 02:31:08,1.0,1,109.35899996757507,4596000,6096000,1920p,4.4,7.9
2024-09-18 02:31:11,1.0,1,111.75200009346008,6096000,4596000,1920p,5.9,7.7
2024-09-18 02:31:12,1.0,0,111.75200009346008,6096000,4596000,1920p,5.9,7.7
2024-09-18 02:31:19,1.0,1,117.92300009727478,6096000,4596000,1920p,5.9,8.8
2024-09-18 02:31:22,0.0,1,120.3030002117157,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:31:29,1.0,1,126.9280002117157,6096000,4596000,1920p,5.9,7.9
2024-09-18 02:31:30,1.0,0,126.9280002117157,6096000,4596000,1920p,5.9,7.9
2024-09-18 02:31:32,1.0,0,126.9280002117157,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:31:33,1.0,0,126.9280002117157,6096000,4596000,1920p,5.9,8.9
2024-09-18 02:31:34,0.6,0,126.9280002117157,6096000,4596000,1920p,5.9,9
2024-09-18 02:31:39,1.0,1,131.6410002708435,6096000,4596000,1920p,5.9,8.5
2024-09-18 02:31:42,1.0,1,134.06700015068054,6096000,4596000,1920p,5.9,5.5
2024-09-18 02:31:43,1.0,0,134.06700015068054,6096000,4596000,1920p,5.9,5.1
2024-09-18 02:31:45,1.0,0,134.09400033950806,6096000,4596000,1920p,5.9,3.8
2024-09-18 02:31:46,0.9,0,134.09400033950806,6096000,4596000,1920p,5.9,3.8
2024-09-18 02:31:51,1.0,1,138.63400030136108,6096000,4596000,1920p,5.9,6.6
2024-09-18 02:31:54,1.0,1,140.76700019836426,6096000,4596000,1920p,5.9,7.3
2024-09-18 02:31:55,1.0,0,140.76700019836426,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:31:56,1.0,0,140.76700019836426,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:31:57,0.8,0,140.76700019836426,6096000,4596000,1920p,5.9,9.3
2024-09-18 02:32:02,1.0,1,144.83900022506714,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:32:05,1.0,1,147.02200031280518,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:32:06,0.9,0,147.02200031280518,6096000,4596000,1920p,5.9,9.5
2024-09-18 02:32:08,1.0,1,147.79400038719177,6096000,4596000,1920p,5.9,9.6
2024-09-18 02:32:09,0.8,0,147.79400038719177,6096000,4596000,1920p,5.9,9.6
2024-09-18 02:32:11,1.0,1,148.39500045776367,6096000,4596000,1920p,5.9,9.7
2024-09-18 02:32:12,0.4,0,148.4110004901886,6096000,4596000,1920p,5.9,9.7
2024-09-18 02:32:17,1.0,1,153.31200051307678,6096000,4596000,1920p,5.9,8.1
2024-09-18 02:32:23,0.2,1,158.99200057983398,6096000,4596000,1920p,5.9,9.3
